Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
S1,SKHHAJA010,1
"C1, C6, C11, C12, C15",GRM21BR71E104KA01L,5
"R4, R9, R11, R13, R14, R19",RC0805FR-0710KL,6
"C3, C4",106CKR063M,2
IOH,61301011821,1
"R1, R6, R8, R15, R16, R17, R20",RC0805JR-07120RL,7
"R5, R12",RC0805FR-071M02L,2
D1,VSSA210-M3/5AT,1
"C5, C20",GRM216R71H102KA01D,2
"C9, C10, C17",GRM21BR61C105KA01L,3
C18,GRM216R71H222JA01D,1
Q2,LFXTAL052838Bulk,1
"R7, R10",RC0805JR-0720KL,2
"C13, C14, C16, C19",GRM1885C1H220JA01D,4
C2,VJ0805Y334MXJTW1BC,1
"R2, R3",ERJ-6ENF33R0V,2
"ICSP1, ICSP2",4-146262-1,2
R18,ERJ-6GEYJ472V,1
AD,960106-6303-AR,1
IC1,LD1117DT50TR,1
Q3,LFXTAL003156Bulk,1
"IOL, POWER",960108-6303-AR,2
LED1,150080BS75000,1
Q1,FDN360P,1
POWER_LED,APT2012SGC,1
IC3,IFX1117ME V33,1
IC2,LM358DT,1
U2,MKE02Z64VLD4,1
U1,MKL26ZVFM4,1
X1,PJ-002A,1
FUSE1,0ZCG0050AF2C,1
X2,UJ2-BH-1-TH,1
"CONN, RUN, RX, TX, USB",APT2012YC,5